,title,genres,release_date,price,specs,early_access,metascore,sentiment,year
72,Railroad Tycoon 3,['Strategy'],2003-10-23,9.99,"['Single-player', 'Multi-player']",False,80.0,Mostly Positive,2003
73,Sid Meier's Railroads!,['Strategy'],2006-10-16,9.99,"['Single-player', 'Multi-player']",False,77.0,Mixed,2006
75,Railroad Tycoon II Platinum,['Strategy'],1998-10-31,4.99,['Single-player'],False,89.0,Very Positive,1998
78,Tomb Raider: Anniversary,"['Action', 'Adventure']",2007-06-05,8.99,"['Single-player', 'Partial Controller Support']",False,83.0,Very Positive,2007
79,Devil May Cry® 3 Special Edition,['Action'],2006-05-23,19.99,"['Single-player', 'Partial Controller Support']",False,66.0,Mixed,2006
82,Vigil: Blood Bitterness™,"['Indie', 'RPG']",2007-06-29,0.0,['Single-player'],False,61.0,Very Negative,2007
86,DOOM II,['Action'],1994-05-05,4.99,"['Single-player', 'Multi-player', 'Steam Cloud']",False,83.0,Very Positive,1994
88,Return to Castle Wolfenstein,['Action'],2001-11-20,4.99,"['Single-player', 'Multi-player', 'Steam Cloud']",False,88.0,Very Positive,2001
91,BloodRayne,['Action'],2003-09-09,9.99,"['Single-player', 'Steam Trading Cards']",False,65.0,Mostly Positive,2003
93,QUAKE,['Action'],2007-05-31,4.99,"['Single-player', 'Multi-player', 'Co-op', 'Steam Cloud']",False,94.0,Overwhelmingly Positive,2007
94,Genesis Rising,['Strategy'],2007-03-20,4.99,"['Single-player', 'Multi-player']",False,57.0,Mostly Negative,2007
96,BioShock™,"['Action', 'RPG']",2007-08-21,19.99,"['Single-player', 'Partial Controller Support']",False,96.0,Very Positive,2007
97,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",['Strategy'],2006-01-01,12.99,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Steam Cloud']",False,86.0,Overwhelmingly Positive,2006
98,"Warhammer® 40,000: Dawn of War® - Dark Crusade",['Strategy'],2006-10-09,12.99,"['Single-player', 'Multi-player', 'Steam Cloud']",False,87.0,Overwhelmingly Positive,2006
99,Rome: Total War™ - Collection,['Strategy'],2004-09-22,9.99,"['Single-player', 'Multi-player', 'Steam Trading Cards']",False,92.0,Very Positive,2004
100,Rome: Total War™ - Alexander,['Strategy'],2006-06-26,4.99,"['Single-player', 'Multi-player']",False,79.0,Mostly Positive,2006
104,Manhunt,['Action'],2004-04-20,9.99,['Single-player'],False,75.0,Mixed,2004
105,Midnight Club 2,['Racing'],2003-07-01,9.99,"['Single-player', 'Multi-player']",False,81.0,Very Positive,2003
106,Max Payne 2: The Fall of Max Payne,['Action'],2003-10-14,9.99,['Single-player'],False,86.0,Very Positive,2003
107,Tomb Raider: Legend,"['Action', 'Adventure']",2006-04-07,6.99,"['Single-player', 'Partial Controller Support']",False,82.0,Very Positive,2006
108,Max Payne,['Action'],2001-07-25,9.99,['Single-player'],False,89.0,Very Positive,2001
109,Command &amp; Conquer: Red Alert 3,['Strategy'],2008-10-28,19.99,['Single-player'],False,82.0,Very Positive,2008
110,PuzzleQuest: Challenge of the Warlords,['Casual'],2007-10-10,9.99,"['Single-player', 'Multi-player', 'Steam Cloud']",False,84.0,Very Positive,2007
111,Culpa Innata,"['RPG', 'Casual', 'Adventure']",2007-10-23,9.99,['Single-player'],False,66.0,Very Positive,2007
115,Conflict: Denied Ops,['Action'],2008-02-08,5.99,['Single-player'],False,58.0,Mixed,2008
116,ARMA: Combat Operations,['Action'],2007-05-08,7.99,"['Single-player', 'Multi-player', 'Includes level editor']",False,74.0,Mixed,2007
117,Tycoon City: New York,['Simulation'],2006-02-21,9.99,['Single-player'],False,67.0,Mostly Negative,2006
118,Desperados 2: Cooper's Revenge,['Action'],2006-05-02,9.99,['Single-player'],False,66.0,Mixed,2006
119,Death to Spies,"['Action', 'Adventure']",2007-10-16,4.99,"['Single-player', 'Steam Cloud']",False,69.0,Mostly Positive,2007
120,Act of War: High Treason,['Action'],2006-05-30,2.99,"['Single-player', 'Multi-player']",False,74.0,Very Positive,2006
121,RollerCoaster Tycoon® 3: Platinum,"['Simulation', 'Strategy']",2006-10-26,19.99,['Single-player'],False,81.0,Very Positive,2006
122,Act of War: Direct Action,['Action'],2005-03-14,2.99,"['Single-player', 'Multi-player']",False,82.0,Very Positive,2005
123,Unreal 2: The Awakening,['Action'],2003-02-03,14.99,['Single-player'],False,75.0,Mostly Positive,2003
125,Ninja Reflex: Steamworks Edition,"['Casual', 'Indie']",2008-03-21,4.99,"['Single-player', 'Multi-player', 'Steam Achievements']",False,57.0,Positive,2008
126,Tom Clancy's Splinter Cell®,['Action'],2003-02-18,9.99,['Single-player'],False,91.0,Very Positive,2003
127,Far Cry®,['Action'],2004-03-23,9.99,['Single-player'],False,89.0,Very Positive,2004
128,Unreal Tournament: Game of the Year Edition,['Action'],2000-10-25,9.99,"['Single-player', 'Multi-player']",False,92.0,Overwhelmingly Positive,2000
129,Tom Clancy's Rainbow Six® Vegas,['Action'],2006-12-12,9.99,"['Single-player', 'Multi-player']",False,85.0,Mostly Positive,2006
130,Silent Hunter® III,['Simulation'],2005-03-15,9.99,"['Single-player', 'Multi-player', 'Co-op']",False,90.0,Very Positive,2005
141,Rayman Raving Rabbids™,"['Action', 'Adventure']",2007-03-27,9.99,['Single-player'],False,58.0,Mostly Positive,2007
142,Silent Hunter®: Wolves of the Pacific,['Simulation'],2007-03-20,9.99,"['Single-player', 'Multi-player']",False,79.0,Mixed,2007
143,IL-2 Sturmovik: 1946,['Simulation'],2006-12-15,9.99,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",False,86.0,Very Positive,2006
145,Bone: Out From Boneville,['Adventure'],2005-09-15,9.99,['Single-player'],False,68.0,Mixed,2005
147,Bone: The Great Cow Race,['Adventure'],2006-04-12,9.99,['Single-player'],False,76.0,Mixed,2006
153,Dracula Origin,['Adventure'],2008-05-20,9.99,['Single-player'],False,70.0,Mixed,2008
155,Sherlock Holmes - Nemesis,"['Adventure', 'RPG']",2008-04-14,9.99,['Single-player'],False,71.0,Mostly Positive,2008
157,Pacific Storm Allies,"['Simulation', 'Strategy']",2007-05-25,7.99,"['Single-player', 'Multi-player', 'Steam Trading Cards']",False,60.0,Mixed,2007
159,FlatOut: Ultimate Carnage,['Racing'],2008-08-19,19.99,"['Single-player', 'Multi-player']",False,79.0,Very Positive,2008
162,GTR Evolution Expansion Pack for RACE 07,['Racing'],2008-09-01,7.99,"['Single-player', 'Multi-player', 'Downloadable Content']",False,83.0,Positive,2008
163,X-COM: Enforcer,['Strategy'],2001-04-19,4.99,"['Single-player', 'Multi-player']",False,65.0,Mixed,2001
166,S.T.A.L.K.E.R.: Clear Sky,"['Action', 'RPG']",2008-09-15,9.99,"['Single-player', 'Multi-player']",False,75.0,Very Positive,2008
167,Crysis Warhead®,['Action'],2008-09-17,19.99,['Single-player'],False,84.0,Very Positive,2008
168,Crysis,['Action'],2007-11-13,19.99,['Single-player'],False,91.0,Very Positive,2007
170,The Witcher: Enhanced Edition Director's Cut,"['Action', 'RPG']",2008-09-16,9.99,"['Single-player', 'Steam Cloud']",False,86.0,Very Positive,2008
171,Multiwinia,['Indie'],2008-09-19,9.99,"['Single-player', 'Multi-player', 'Steam Achievements']",False,76.0,Very Positive,2008
174,Sid Meier's Civilization IV: Colonization,['Strategy'],2008-09-23,19.99,"['Single-player', 'Multi-player']",False,83.0,Mostly Positive,2008
175,Tom Clancy's Rainbow Six® 3 Gold,['Action'],2003-03-18,9.99,['Single-player'],False,85.0,Very Positive,2003
176,LEGO Batman,"['Action', 'Adventure']",2008-09-29,19.99,"['Single-player', 'Shared/Split Screen', 'Full controller support']",False,80.0,Very Positive,2008
178,Hinterland,"['RPG', 'Strategy']",2008-09-30,9.99,"['Single-player', 'Steam Achievements']",False,65.0,Mostly Positive,2008
179,Brothers in Arms: Hell's Highway™,['Action'],2008-10-08,9.99,['Single-player'],False,79.0,Very Positive,2008
182,Heroes of Might &amp; Magic V: Hammers of Fate,['Strategy'],2006-11-14,9.99,['Single-player'],False,66.0,Mostly Positive,2006
183,Brothers in Arms: Earned in Blood™,['Action'],2005-10-04,9.99,['Single-player'],False,84.0,Very Positive,2005
184,Heroes of Might &amp; Magic V: Tribes of the East,['Strategy'],2007-10-16,9.99,['Single-player'],False,70.0,Very Positive,2007
185,The Settlers®: Rise Of An Empire Gold Edition,['Strategy'],2008-04-18,19.99,['Single-player'],False,66.0,Mostly Positive,2008
187,The Sum of All Fears,['Action'],2002-05-31,9.99,"['Single-player', 'Multi-player']",False,72.0,Positive,2002
188,Peggle™ Nights,['Casual'],2008-10-15,4.99,['Single-player'],False,76.0,Very Positive,2008
189,World of Goo,['Indie'],2008-10-13,9.99,"['Single-player', 'Steam Achievements']",False,90.0,Very Positive,2008
190,X3: Terran Conflict,"['Action', 'Simulation', 'Strategy']",2008-10-16,15.99,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']",False,73.0,Very Positive,2008
194,Bully: Scholarship Edition,"['Action', 'Adventure']",2008-10-21,14.99,"['Single-player', 'Partial Controller Support']",False,72.0,Very Positive,2008
195,Far Cry® 2: Fortune's Edition,['Action'],2008-10-22,9.99,"['Single-player', 'Multi-player']",False,85.0,Mostly Positive,2008
204,Saints Row 2,['Action'],2009-01-28,9.99,"['Single-player', 'Steam Cloud']",False,72.0,Mostly Positive,2009
205,Dead Space,['Action'],2008-10-20,19.99,"['Single-player', 'Full controller support']",False,86.0,Very Positive,2008
206,Rise of the Argonauts,['RPG'],2008-12-16,9.99,"['Single-player', 'Full controller support']",False,59.0,Mostly Positive,2008
207,Mirror's Edge™,"['Action', 'Adventure']",2009-01-13,19.99,"['Single-player', 'Full controller support', 'Partial Controller Support']",False,81.0,Very Positive,2009
208,Defense Grid: The Awakening,"['Indie', 'Strategy']",2008-12-08,9.99,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",False,81.0,Overwhelmingly Positive,2008
209,F.E.A.R. 2: Project Origin,['Action'],2009-02-12,14.99,"['Single-player', 'Multi-player']",False,79.0,Very Positive,2009
212,Larva Mortus,"['Action', 'Indie']",2009-03-19,4.99,"['Single-player', 'Steam Achievements']",False,64.0,Mostly Positive,2009
213,Knights of Honor,['Strategy'],2005-05-10,9.99,"['Single-player', 'Multi-player']",False,77.0,Very Positive,2005
214,Ceville,"['Action', 'Adventure', 'Strategy']",2009-02-27,5.99,['Single-player'],False,73.0,Very Positive,2009
216,Watchmen: The End is Nigh,['Action'],2009-03-04,4.99,"['Single-player', 'Multi-player', 'Shared/Split Screen']",False,61.0,Mixed,2009
217,Penumbra Overture,"['Action', 'Adventure', 'Indie']",2007-03-30,9.99,"['Single-player', 'Captions available']",False,73.0,Very Positive,2007
218,Unreal Tournament 3 Black,['Action'],2007-11-19,19.99,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",False,83.0,Very Positive,2007
219,Drakensang,['RPG'],2009-02-27,9.99,['Single-player'],False,75.0,Very Positive,2009
222,Burnout Paradise: The Ultimate Box,['Racing'],2009-02-03,19.99,"['Single-player', 'Multi-player']",False,87.0,Very Positive,2009
224,The Maw,"['Action', 'Indie']",2009-03-09,9.99,"['Single-player', 'Steam Achievements']",False,75.0,Very Positive,2009
231,Guild Wars Nightfall®,"['RPG', 'Massively Multiplayer']",2006-10-27,19.99,"['Multi-player', 'MMO']",False,84.0,,2006
232,Guild Wars® Game of the Year Edition,"['RPG', 'Massively Multiplayer']",2005-04-28,19.99,"['Multi-player', 'MMO']",False,89.0,6 user reviews,2005
233,Guild Wars Factions®,"['RPG', 'Massively Multiplayer']",2006-04-28,19.99,"['Multi-player', 'MMO']",False,84.0,,2006
237,Two Worlds Epic Edition,['RPG'],2009-04-30,9.99,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Partial Controller Support']",False,65.0,Mostly Positive,2009
238,Helldorado,['Strategy'],2009-04-30,9.99,['Single-player'],False,65.0,Mixed,2009
239,X-Blades,"['Action', 'Adventure', 'RPG']",2009-02-10,9.99,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",False,54.0,Mixed,2009
240,Zeno Clash,"['Action', 'Indie']",2009-04-21,9.99,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",False,77.0,Very Positive,2009
242,King's Bounty: The Legend,"['RPG', 'Strategy']",2008-09-23,6.99,"['Single-player', 'Steam Cloud']",False,79.0,Very Positive,2008
244,Death Track®: Resurrection,['Racing'],2009-05-06,2.99,"['Single-player', 'Steam Cloud']",False,53.0,Mixed,2009
246,Freedom Force,"['RPG', 'Strategy']",2002-03-26,4.99,"['Single-player', 'Multi-player']",False,90.0,Mixed,2002
247,Light of Altair,"['Indie', 'Simulation', 'Strategy']",2009-06-04,14.99,"['Single-player', 'Steam Achievements']",False,66.0,Positive,2009
249,Prototype™,"['Action', 'Adventure']",2009-06-10,19.99,['Single-player'],False,79.0,Very Positive,2009
250,Blueberry Garden,"['Adventure', 'Indie']",,4.99,['Single-player'],False,68.0,Mostly Positive,
251,Port Royale 2,['Strategy'],2004-04-30,4.99,['Single-player'],False,75.0,Mixed,2004
253,The Elder Scrolls IV: Oblivion® Game of the Year Edition,['RPG'],2007-09-11,14.99,"['Single-player', 'Steam Cloud']",False,94.0,Very Positive,2007
254,The Elder Scrolls III: Morrowind® Game of the Year Edition,['RPG'],2002-04-29,14.99,"['Single-player', 'Steam Cloud']",False,89.0,Very Positive,2002
260,Call of Juarez®: Bound in Blood,['Action'],2009-06-30,9.99,['Single-player'],False,78.0,Very Positive,2009
261,Nancy Drew®: Legend of the Crystal Skull,['Adventure'],2007-10-01,6.99,['Single-player'],False,79.0,Positive,2007
262,Nancy Drew®: The Creature of Kapu Cave,['Adventure'],2006-10-01,6.99,['Single-player'],False,68.0,Positive,2006
263,Nancy Drew®: The Phantom of Venice,['Adventure'],2008-07-01,6.99,['Single-player'],False,69.0,Positive,2008
264,Nancy Drew®: The White Wolf of Icicle Creek,['Adventure'],2007-07-01,6.99,['Single-player'],False,73.0,Positive,2007
267,Tales of Monkey Island Complete Pack,['Adventure'],2009-07-07,19.99,['Single-player'],False,79.0,Very Positive,2009
268,Street Fighter® IV,['Action'],2009-07-07,19.99,"['Single-player', 'Multi-player', 'Partial Controller Support']",False,91.0,Mostly Positive,2009
269,Thrillville®: Off the Rails™,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",2007-10-09,9.99,"['Single-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",False,70.0,Very Positive,2007
271,Armed and Dangerous®,['Action'],2003-12-02,5.99,"['Single-player', 'Steam Cloud']",False,78.0,Very Positive,2003
272,"Star Wars: Battlefront 2 (Classic, 2005)",['Action'],2005-11-01,9.99,"['Single-player', 'Partial Controller Support', 'Steam Cloud']",False,78.0,Very Positive,2005
274,LEGO® Indiana Jones™: The Original Adventures,"['Action', 'Adventure']",2008-06-03,19.99,"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",False,78.0,Mostly Positive,2008
275,The Secret of Monkey Island: Special Edition,['Adventure'],2009-07-15,9.99,"['Single-player', 'Full controller support', 'Steam Cloud']",False,86.0,Overwhelmingly Positive,2009
277,Clutch,"['Action', 'Racing']",2009-06-02,9.99,['Single-player'],False,51.0,Mostly Positive,2009
278,Nancy Drew®: Ransom of the Seven Ships,['Adventure'],2009-07-21,6.99,"['Single-player', 'Steam Achievements']",False,78.0,Mixed,2009
282,TimeShift™,['Action'],2007-10-30,19.99,"['Single-player', 'Multi-player']",False,71.0,Mostly Positive,2007
288,Bionic Commando: Rearmed,['Action'],2008-08-14,9.99,"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",False,86.0,Mostly Positive,2008
289,Bionic Commando,"['Action', 'Adventure']",2009-07-28,9.99,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Steam Cloud']",False,69.0,Mostly Positive,2009
290,Watchmen: The End is Nigh Part 2,['Action'],2009-07-29,4.99,"['Single-player', 'Co-op', 'Partial Controller Support']",False,44.0,Mixed,2009
293,Osmos,"['Indie', 'Casual']",2009-08-18,9.99,"['Single-player', 'Steam Achievements']",False,80.0,Very Positive,2009
294,Fallout 2: A Post Nuclear Role Playing Game,['RPG'],1998-12-01,9.99,"['Single-player', 'Steam Cloud']",False,86.0,Very Positive,1998
295,Fallout Tactics: Brotherhood of Steel,['Strategy'],2001-03-01,9.99,"['Single-player', 'Multi-player', 'Steam Cloud']",False,82.0,Very Positive,2001
302,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack","['Adventure', 'Indie']",2009-06-22,4.99,['Single-player'],False,84.0,Very Positive,2009
303,Tom Clancy's Splinter Cell Chaos Theory®,['Action'],2005-03-29,9.99,['Single-player'],False,92.0,Very Positive,2005
308,Mini Ninjas,"['Action', 'Adventure']",2009-09-08,9.99,['Single-player'],False,74.0,Very Positive,2009
319,Risen,['RPG'],2009-10-30,9.99,"['Single-player', 'Steam Trading Cards']",False,77.0,Very Positive,2009
322,Machinarium,"['Adventure', 'Indie']",2009-10-16,9.99,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",False,85.0,Overwhelmingly Positive,2009
323,Medal of Honor: Airborne,['Action'],2007-09-04,9.99,"['Single-player', 'Multi-player']",False,78.0,Mostly Positive,2007
324,Need for Speed: Shift,['Racing'],2009-09-15,19.99,"['Single-player', 'Multi-player']",False,83.0,Mostly Positive,2009
325,Torchlight,['RPG'],2009-10-27,14.99,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Includes level editor']",False,83.0,Very Positive,2009
328,East India Company: Privateer,['Strategy'],2009-10-27,4.99,"['Single-player', 'Downloadable Content']",False,63.0,1 user reviews,2009
329,Painkiller: Resurrection,['Action'],2009-10-27,9.99,"['Single-player', 'Multi-player']",False,38.0,Mostly Negative,2009
330,SpellForce 2 - Anniversary Edition,"['RPG', 'Strategy']",2009-10-29,14.99,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Steam Cloud', 'Includes level editor']",False,80.0,Mostly Positive,2009
332,Rush for Berlin Gold,['Strategy'],2009-10-29,4.99,"['Single-player', 'Multi-player']",False,76.0,Very Positive,2009
334,Men of War: Red Tide,['Strategy'],2009-11-01,4.99,"['Single-player', 'Steam Cloud']",False,77.0,Very Positive,2009
336,SpellForce - Platinum Edition,"['Action', 'RPG']",2009-11-03,9.99,['Single-player'],False,74.0,Very Positive,2009
338,Massive Assault,['Strategy'],2003-10-28,9.99,['Single-player'],False,77.0,9 user reviews,2003
340,Serious Sam HD: The First Encounter,"['Action', 'Indie']",2009-11-24,14.99,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",False,68.0,Very Positive,2009
341,Secret Files 2: Puritas Cordis,['Adventure'],2009-10-29,9.99,['Single-player'],False,64.0,Mostly Positive,2009
342,Dragon Age: Origins,['RPG'],2009-11-06,19.99,['Single-player'],False,91.0,Very Positive,2009
346,Call of Duty®: Modern Warfare® 2,['Action'],2009-11-12,19.99,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']",False,86.0,Very Positive,2009
347,LEGO® Star Wars™ - The Complete Saga,['Adventure'],2009-11-12,19.99,"['Single-player', 'Shared/Split Screen', 'Full controller support', 'Steam Cloud']",False,77.0,Very Positive,2009
348,Overlord™,['RPG'],2007-06-26,4.99,"['Single-player', 'Partial Controller Support']",False,81.0,Very Positive,2007
350,Command &amp; Conquer 3: Tiberium Wars,['Strategy'],2007-03-28,14.99,['Single-player'],False,85.0,Very Positive,2007
352,Command &amp; Conquer 3: Kane's Wrath,['Strategy'],2009-11-13,19.99,"['Single-player', 'Multi-player']",False,77.0,Very Positive,2009
353,Gratuitous Space Battles,"['Indie', 'Simulation', 'Strategy']",2009-11-16,14.99,"['Single-player', 'Multi-player', 'Steam Trading Cards']",False,72.0,Very Positive,2009
354,Wings of Prey,['Simulation'],2009-12-25,9.99,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",False,78.0,Mixed,2009
355,The Bard's Tale,"['Action', 'Adventure', 'RPG']",2005-06-17,9.99,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",False,70.0,Very Positive,2005
357,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,['Action'],2009-11-03,19.99,"['Single-player', 'Partial Controller Support', 'Steam Cloud']",False,65.0,Mixed,2009
359,Fallout 3: Game of the Year Edition,['RPG'],2009-10-13,19.99,['Single-player'],False,91.0,Very Positive,2009
365,Roogoo,['Casual'],2009-12-17,1.99,"['Single-player', 'Multi-player']",False,72.0,Mostly Positive,2009
366,Devil May Cry 4,"['Action', 'Adventure']",2008-07-08,19.99,"['Single-player', 'Full controller support']",False,78.0,Very Positive,2008
367,Avencast: Rise of the Mage,"['Action', 'Indie', 'RPG']",2010-03-17,9.99,['Single-player'],False,68.0,Mixed,2010
378,UFO: Extraterrestrials Gold,['Strategy'],2010-02-17,9.99,['Single-player'],False,68.0,Mostly Positive,2010
379,LEGO® Indiana Jones™ 2: The Adventure Continues,['Adventure'],2010-02-18,19.99,"['Single-player', 'Shared/Split Screen']",False,66.0,Mostly Positive,2010
380,Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,['Sports'],2010-02-18,0.0,"['Single-player', 'Multi-player']",False,57.0,4 user reviews,2010
386,Serious Sam Classic: The First Encounter,"['Action', 'Indie']",2001-03-21,9.99,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Includes level editor']",False,87.0,Overwhelmingly Positive,2001
388,Mount &amp; Blade: Warband,"['Action', 'RPG']",2010-03-31,19.99,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']",False,78.0,Overwhelmingly Positive,2010
390,Plain Sight,"['Action', 'Indie']",2010-04-05,4.99,"['Multi-player', 'Steam Achievements', 'Steam Leaderboards']",False,76.0,Mixed,2010
391,Lead and Gold: Gangs of the Wild West,['Action'],2010-04-08,9.99,"['Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",False,70.0,Mostly Positive,2010
395,Beat Hazard,"['Action', 'Casual', 'Indie']",2010-04-15,9.99,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",False,70.0,Overwhelmingly Positive,2010
397,M.U.D. TV,"['Simulation', 'Strategy']",2010-04-19,9.99,['Single-player'],False,53.0,Mostly Negative,2010
399,The Misadventures of P.B. Winterbottom,"['Adventure', 'Indie']",2010-04-20,4.99,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",False,79.0,Very Positive,2010
400,AquaNox 2: Revelation,['Action'],2003-08-19,4.99,['Single-player'],False,59.0,Mostly Positive,2003
401,AquaNox,['Action'],2001-11-30,4.99,"['Single-player', 'Multi-player']",False,67.0,Mostly Positive,2001
416,Iron Grip: Warlord,"['Action', 'Indie']",2008-12-05,0.0,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",False,59.0,Very Positive,2008
417,Rocket Knight,"['Action', 'Adventure']",2010-05-11,14.99,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",False,63.0,Mostly Positive,2010
435,Alpha Protocol™,"['Action', 'RPG']",2010-06-01,14.99,['Single-player'],False,72.0,Very Positive,2010
436,Alien Breed: Impact,['Action'],2010-06-03,9.99,"['Single-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support']",False,64.0,Mostly Positive,2010
442,Alien Swarm,['Action'],2010-07-19,0.0,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Captions available', 'Steam Cloud', 'Stats', 'Includes level editor']",False,77.0,Overwhelmingly Positive,2010
445,Disciples III - Renaissance Steam Special Edition,"['Strategy', 'RPG']",2010-07-16,14.99,"['Single-player', 'Multi-player', 'Steam Achievements']",False,56.0,Mixed,2010
446,Tidalis,"['Casual', 'Indie']",2010-07-16,4.99,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Includes level editor']",False,75.0,Mostly Positive,2010
447,Razor2: Hidden Skies,"['Action', 'Casual', 'Indie']",2010-07-19,9.99,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",False,61.0,Mostly Negative,2010
450,Kane &amp; Lynch 2: Dog Days,['Action'],2010-08-17,9.99,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Leaderboards']",False,66.0,Mixed,2010
451,The Guild II Renaissance,"['Simulation', 'Strategy']",2010-07-28,9.99,['Single-player'],False,56.0,Very Positive,2010
454,Fantasy Wars,['Strategy'],2010-08-06,4.99,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",False,67.0,Very Positive,2010
455,Mafia II,['Action'],2011-03-22,29.99,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",False,77.0,Very Positive,2011
